image_path,file_name,true_label,pred_320,conf_320,wrong_320,pred_480,conf_480,wrong_480,pred_520,conf_520,wrong_520,is_common_wrong
[O] C:\Users\User\work\HDRT_FinalProject\image_detecting\model2\risk_dataset_aug\test\risk_1_low\sp0001_img000063_1781082220076.jpg,sp0001_img000063_1781082220076.jpg,risk_1_low,risk_0_safe,0.9992491602897644,True,risk_0_safe,0.9856622815132141,True,risk_0_safe,0.49420592188835144,True,True
[O] C:\Users\User\work\HDRT_FinalProject\image_detecting\model2\risk_dataset_aug\test\risk_1_low\sp0001_img000103_1781082233442.jpg,sp0001_img000103_1781082233442.jpg,risk_1_low,risk_0_safe,0.9918265342712402,True,risk_2_high,0.8479096293449402,True,risk_0_safe,0.4778944253921509,True,True
[O] C:\Users\User\work\HDRT_FinalProject\image_detecting\model2\risk_dataset_aug\test\risk_1_low\sp0001_img000130_1781082241525.jpg,sp0001_img000130_1781082241525.jpg,risk_1_low,risk_0_safe,0.7055768966674805,True,risk_0_safe,0.6032667756080627,True,risk_0_safe,0.5767677426338196,True,True
[O - crop check] C:\Users\User\work\HDRT_FinalProject\image_detecting\model2\risk_dataset_aug\test\risk_1_low\sp0001_img000172_1781082253468.jpg,sp0001_img000172_1781082253468.jpg,risk_1_low,risk_2_high,0.6926261186599731,True,risk_0_safe,0.575296938419342,True,risk_0_safe,0.5756586194038391,True,True
[O - crop check] C:\Users\User\work\HDRT_FinalProject\image_detecting\model2\risk_dataset_aug\test\risk_1_low\sp0002_img000091_1781082974602.jpg,sp0002_img000091_1781082974602.jpg,risk_1_low,risk_0_safe,0.6411910653114319,True,risk_0_safe,0.444980263710022,True,risk_0_safe,0.5279709696769714,True,True
[X] C:\Users\User\work\HDRT_FinalProject\image_detecting\model2\risk_dataset_aug\test\risk_1_low\sp0002_img000343_1781083063645.jpg,sp0002_img000343_1781083063645.jpg,risk_1_low,risk_0_safe,0.5395501255989075,True,risk_0_safe,0.4912286698818207,True,risk_2_high,0.42629286646842957,True,True
[O] C:\Users\User\work\HDRT_FinalProject\image_detecting\model2\risk_dataset_aug\test\risk_2_high\sp0001_img000069_1781078295079.jpg,sp0001_img000069_1781078295079.jpg,risk_2_high,risk_0_safe,0.709297239780426,True,risk_0_safe,0.5840878486633301,True,risk_0_safe,0.6099615693092346,True,True
[X] C:\Users\User\work\HDRT_FinalProject\image_detecting\model2\risk_dataset_aug\test\risk_2_high\sp0001_img000133_1781082242277.jpg,sp0001_img000133_1781082242277.jpg,risk_2_high,risk_0_safe,0.7349544763565063,True,risk_0_safe,0.6035540103912354,True,risk_0_safe,0.5762655735015869,True,True
[X] C:\Users\User\work\HDRT_FinalProject\image_detecting\model2\risk_dataset_aug\test\risk_2_high\sp0001_img000134_1781082242632.jpg,sp0001_img000134_1781082242632.jpg,risk_2_high,risk_0_safe,0.7228381633758545,True,risk_0_safe,0.6025345921516418,True,risk_0_safe,0.5790160298347473,True,True
[X] C:\Users\User\work\HDRT_FinalProject\image_detecting\model2\risk_dataset_aug\test\risk_2_high\sp0001_img000137_1781082243507.jpg,sp0001_img000137_1781082243507.jpg,risk_2_high,risk_0_safe,0.7289776802062988,True,risk_0_safe,0.5934998393058777,True,risk_0_safe,0.5992391705513,True,True
[X] C:\Users\User\work\HDRT_FinalProject\image_detecting\model2\risk_dataset_aug\test\risk_2_high\sp0001_img000138_1781082243766.jpg,sp0001_img000138_1781082243766.jpg,risk_2_high,risk_0_safe,0.739448606967926,True,risk_0_safe,0.5957421064376831,True,risk_0_safe,0.5917514562606812,True,True
[X] C:\Users\User\work\HDRT_FinalProject\image_detecting\model2\risk_dataset_aug\test\risk_2_high\sp0002_img000305_1781083050848.jpg,sp0002_img000305_1781083050848.jpg,risk_2_high,risk_1_low,0.9275957345962524,True,risk_0_safe,0.5322492122650146,True,risk_1_low,0.4257734417915344,True,True
